JD_TT			KELT_Instrumental Mag_Detrended		KELT_Mag_err
 2455268.4020130001008511      14.7269400000000008       0.0313500000000000
 2455268.4210129999555647      14.7498299999999993       0.0322900000000000
 2455268.4324070001021028      14.7890899999999998       0.0326500000000000
 2455268.4481779998168349      14.7532899999999998       0.0314900000000000
 2455268.4660829999484122      14.7653199999999991       0.0321700000000000
 2455268.4828630001284182      14.7532599999999992       0.0309800000000000
 2455268.4964120001532137      14.7814399999999999       0.0308400000000000
 2455268.5143889999017119      14.7850900000000003       0.0319300000000000
 2455268.5322420001029968      14.7398500000000006       0.0315500000000000
 2455268.5486130001954734      14.7401178631542749       0.0307400000000000
 2455268.5738619999028742      14.7587487783332101       0.0317800000000000
 2455268.5875550000928342      14.7596388220535104       0.0323700000000000
 2455268.6013549999333918      14.7358676543775484       0.0328900000000000
 2455268.6151569997891784      14.7170367293738291       0.0322300000000000
 2455268.6267369999550283      14.7686692656426555       0.0325800000000000
 2455268.6405279999598861      14.8064311205624879       0.0326900000000000
 2455269.3985680001787841      14.8124699999999994       0.0371300000000000
 2455269.4166580000892282      14.8153000000000006       0.0334700000000000
 2455269.4280360001139343      14.7967300000000002       0.0331100000000000
 2455269.4438149998895824      14.8106299999999997       0.0328200000000000
 2455269.4617249998264015      14.8271099999999993       0.0323200000000000
 2455270.3968489998951554      14.8296399999999995       0.0339300000000000
 2455270.4126030001789331      14.8145900000000008       0.0335900000000000
 2455270.4239909998141229      14.7977100000000004       0.0332800000000000
 2455270.4397660000249743      14.8489500000000003       0.0333600000000000
 2455270.4576759999617934      14.8034999999999997       0.0322900000000000
 2455270.4735179999843240      14.7683900000000001       0.0317800000000000
 2455270.4870719998143613      14.8665099999999999       0.0331000000000000
 2455270.5050800000317395      14.8596599999999999       0.0327400000000000
 2455270.5229879999533296      14.8076600000000003       0.0340500000000000
 2455270.5392990000545979      14.8151615494144515       0.0322700000000000
 2455273.3992240000516176      14.8006200000000003       0.0365400000000000
 2455273.4106290000490844      14.8886599999999998       0.0382000000000000
 2455273.4263889999128878      14.8324900000000000       0.0359000000000000
 2455273.4443049998953938      14.8057200000000009       0.0338800000000000
 2455273.4600960002280772      14.7766500000000001       0.0338300000000000
 2455273.4736999999731779      14.7915100000000006       0.0331000000000000
 2455274.3823589999228716      14.7329799999999995       0.0380000000000000
 2455274.4004819998517632      14.7820800000000006       0.0353100000000000
 2455274.4118110002018511      14.8018000000000001       0.0341500000000000
 2455274.4275790001265705      14.7563499999999994       0.0339600000000000
 2455274.4455590001307428      14.7771100000000004       0.0330800000000000
 2455274.4613490002229810      14.7518799999999999       0.0338200000000000
 2455274.4748990000225604      14.7252399999999994       0.0331200000000000
 2455274.4929559999145567      14.7367500000000007       0.0343700000000000
 2455274.5107950000092387      14.7777499999999993       0.0326200000000000
 2455274.5271660001017153      14.7856500997670928       0.0318900000000000
 2455274.5523580000735819      14.7663291506926448       0.0330600000000000
 2455274.5660540000535548      14.7511484049912944       0.0338200000000000
 2455274.5797930001281202      14.7825799489566077       0.0341300000000000
 2455274.5936400000937283      14.7822399322544697       0.0350700000000000
 2455274.6052190000191331      14.7254171410324144       0.0364500000000000
 2455274.6190200001001358      14.7556286250665281       0.0357000000000000
 2455274.6348819998092949      14.8000408066605349       0.0353200000000000
 2455275.3927640002220869      14.7708800000000000       0.0369900000000000
 2455275.4042139998637140      14.8347700000000007       0.0345500000000000
 2455275.4199060001410544      14.7847500000000007       0.0349000000000000
 2455275.4378089997917414      14.7588799999999996       0.0348600000000000
 2455275.4557839999906719      14.7391400000000008       0.0341700000000000
 2455275.4692199998535216      14.7328499999999991       0.0341600000000000
 2455275.4872059999033809      14.7752400000000002       0.0344600000000000
 2455275.5051090000197291      14.7525999999999993       0.0345500000000000
 2455275.5210179998539388      14.7392299999999992       0.0347900000000000
 2455275.5458180001005530      14.8119013892704192       0.0325200000000000
 2455275.5595019999891520      14.7838800128177255       0.0331000000000000
 2455275.5732010002247989      14.7936604932498224       0.0343400000000000
 2455275.5871040001511574      14.7891402712096305       0.0348100000000000
 2455275.6008979999460280      14.7397378444871805       0.0353800000000000
 2455275.6124800001271069      14.7557486309614010       0.0375100000000000
 2455275.6283309999853373      14.7889302608936042       0.0361000000000000
 2455275.6420200001448393      14.7630889915310917       0.0369800000000000
 2455276.3865669998340309      14.7813800000000004       0.0370200000000000
 2455276.4032499999739230      14.8194099999999995       0.0358700000000000
 2455276.4146449998952448      14.8556000000000008       0.0348000000000000
 2455276.4304059999994934      14.7646099999999993       0.0344300000000000
 2455276.4483110001310706      14.8253799999999991       0.0321500000000000
 2455276.4649689998477697      14.8339099999999995       0.0319500000000000
 2455276.4786470001563430      14.7919900000000002       0.0314000000000000
 2455276.4987739999778569      14.7824500000000008       0.0328300000000000
 2455276.5146309998817742      14.8065400000000000       0.0319200000000000
 2455276.5394069999456406      14.7988707491855305       0.0321600000000000
 2455276.5553109999746084      14.8095312728466908       0.0326200000000000
 2455276.5691109998151660      14.8483231783641756       0.0332900000000000
 2455276.5829070000909269      14.8266321128659992       0.0328100000000000
 2455276.5966969998553395      14.8073411652652691       0.0316700000000000
 2455276.6082839998416603      14.7884102353491578       0.0326700000000000
 2455276.6241440000012517      14.7434580272282236       0.0323400000000000
 2455277.3828230001963675      14.7325700000000008       0.0372900000000000
 2455277.3994959997944534      14.7885500000000008       0.0350700000000000
 2455277.4108850001357496      14.7992200000000000       0.0344700000000000
 2455277.4265809999778867      14.7564200000000003       0.0344600000000000
 2455277.4445560001768172      14.7641399999999994       0.0346300000000000
