J.D.-2400000	JD_UTC	Source_AMag_T1	Source_AMag_Err_T1
56194.513131	2456194.513131	12.318131	0.021085
56195.501047	2456195.501047	12.404061	0.014611
56195.501152	2456195.501152	12.375383	0.014410
56195.501244	2456195.501244	12.370117	0.014420
56196.502309	2456196.502309	12.344242	0.016117
56196.502402	2456196.502402	12.298735	0.015924
56196.502494	2456196.502494	12.346535	0.016072
56197.502459	2456197.502459	12.381001	0.019478
56197.502541	2456197.502541	12.400647	0.018287
56197.502645	2456197.502645	12.399229	0.019135
56199.503814	2456199.503814	12.307685	0.017102
56199.503929	2456199.503929	12.362655	0.017315
56199.504022	2456199.504022	12.283040	0.017052
57100.864404	2457100.864404	12.386556	0.016809
57100.864531	2457100.864531	12.352494	0.016776
57100.864670	2457100.864670	12.378319	0.016792
57102.861545	2457102.861545	12.322974	0.016476
57102.861672	2457102.861672	12.240500	0.015819
57102.861788	2457102.861788	12.267094	0.016487
57108.873825	2457108.873825	12.271756	0.016135
57108.873953	2457108.873953	12.286631	0.016255
57108.874068	2457108.874068	12.332416	0.016409
57109.874253	2457109.874253	12.358893	0.016732
57109.874358	2457109.874358	12.340418	0.016718
57109.874473	2457109.874473	12.390519	0.016841
57110.875006	2457110.875006	12.362154	0.017045
57110.875168	2457110.875168	12.343728	0.017116
57110.875295	2457110.875295	12.386388	0.017172
57111.875341	2457111.875341	12.317867	0.016637
57111.875584	2457111.875584	12.292796	0.016473
57111.875700	2457111.875700	12.307449	0.016480
57112.876152	2457112.876152	12.373634	0.016518
57112.876383	2457112.876383	12.338981	0.016153
57112.876499	2457112.876499	12.330952	0.015767
57113.876545	2457113.876545	12.279052	0.015653
57113.876661	2457113.876661	12.274739	0.015656
57113.876950	2457113.876950	12.234709	0.014851
57114.877506	2457114.877506	12.308056	0.016004
57114.877691	2457114.877691	12.252019	0.015726
57114.877830	2457114.877830	12.284722	0.015981
57116.507541	2457116.507541	12.180722	0.024283
57116.507726	2457116.507726	12.163244	0.029577
57116.507853	2457116.507853	12.340345	0.029932
57117.508397	2457117.508397	12.378565	0.026903
57117.508513	2457117.508513	12.284137	0.024863
57117.508675	2457117.508675	12.350386	0.025268
57118.509184	2457118.509184	12.297105	0.020692
57118.509311	2457118.509311	12.326068	0.020859
57118.509427	2457118.509427	12.393342	0.022829
57119.559578	2457119.559578	12.333858	0.025272
57119.559855	2457119.559855	12.426360	0.049885
57121.892089	2457121.892089	12.349011	0.018178
57121.892251	2457121.892251	12.305496	0.018036
57122.892714	2457122.892714	12.396171	0.020763
57122.892876	2457122.892876	12.417292	0.020457
57122.893108	2457122.893108	12.300134	0.019358
57123.893397	2457123.893397	12.308421	0.016050
57123.893628	2457123.893628	12.266403	0.015792
57123.893756	2457123.893756	12.316092	0.016054
57125.894230	2457125.894230	12.535669	0.021328
57125.894346	2457125.894346	12.511291	0.021046
57126.894450	2457126.894450	12.354788	0.016953
57126.894589	2457126.894589	12.311325	0.016760
57126.894705	2457126.894705	12.285047	0.016664
57129.489959	2457129.489959	12.511197	0.022284
57129.490064	2457129.490064	12.586855	0.022795
57129.490168	2457129.490168	12.569931	0.022394
57133.488038	2457133.488038	12.686936	0.024577
57134.489485	2457134.489485	12.510858	0.021823
57134.489589	2457134.489589	12.455629	0.021406
57134.489705	2457134.489705	12.453568	0.021257
57135.548999	2457135.548999	12.441565	0.018831
57135.549126	2457135.549126	12.423322	0.018804
57135.549242	2457135.549242	12.372594	0.018469
57136.549219	2457136.549219	12.513836	0.020431
57136.549323	2457136.549323	12.475684	0.020068
57136.549439	2457136.549439	12.528561	0.020546
57137.574172	2457137.574172	12.322195	0.016276
57137.574277	2457137.574277	12.230712	0.015855
57137.574381	2457137.574381	12.256087	0.015868
57139.524196	2457139.524196	12.406730	0.019043
57139.524300	2457139.524300	12.388842	0.018966
57139.524404	2457139.524404	12.437068	0.019326
57140.526071	2457140.526071	12.411773	0.019805
57140.526325	2457140.526325	12.400741	0.019694
57140.526429	2457140.526429	12.501352	0.020342
57141.526962	2457141.526962	12.482995	0.018819
57141.527066	2457141.527066	12.412890	0.018232
57141.527182	2457141.527182	12.407053	0.018464
57142.527309	2457142.527309	12.394120	0.018768
57142.527425	2457142.527425	12.462498	0.019172
57142.527529	2457142.527529	12.395174	0.018733
57143.527703	2457143.527703	12.421848	0.018077
57143.527830	2457143.527830	12.394854	0.017934
57143.527934	2457143.527934	12.392575	0.017704
57146.553663	2457146.553663	12.399445	0.025378
57146.553791	2457146.553791	12.433087	0.029324
57146.553883	2457146.553883	12.446073	0.026909
57147.554196	2457147.554196	12.422958	0.020852
57147.554300	2457147.554300	12.425530	0.020735
57147.554404	2457147.554404	12.244541	0.015175
57148.554809	2457148.554809	12.359194	0.016778
57148.554936	2457148.554936	12.367796	0.016833
57148.555087	2457148.555087	12.271082	0.016378
57150.556869	2457150.556869	12.489951	0.020427
57150.556985	2457150.556985	12.498540	0.020607
57150.557089	2457150.557089	12.535753	0.020729
57151.558015	2457151.558015	12.481531	0.023048
57151.558119	2457151.558119	12.461134	0.021904
57151.558223	2457151.558223	12.501735	0.022154
57152.558200	2457152.558200	12.399039	0.029555
57152.558316	2457152.558316	12.416645	0.031473
57152.558432	2457152.558432	12.492193	0.033136
57153.665237	2457153.665237	12.415605	0.017791
57153.665353	2457153.665353	12.461290	0.018011
57153.665515	2457153.665515	12.394569	0.017683
57154.665920	2457154.665920	12.378013	0.017246
57154.666094	2457154.666094	12.398918	0.017522
57154.666209	2457154.666209	12.304486	0.016976
57155.666360	2457155.666360	12.433388	0.018289
57155.666580	2457155.666580	12.434866	0.018380
57155.666707	2457155.666707	12.449223	0.018465
57156.667066	2457156.667066	12.479651	0.018590
57156.667228	2457156.667228	12.455902	0.018388
57156.667344	2457156.667344	12.372462	0.017970
57157.667564	2457157.667564	12.467895	0.019004
57157.667679	2457157.667679	12.443355	0.018957
57157.667795	2457157.667795	12.431555	0.018722
57158.668328	2457158.668328	12.417856	0.018177
57158.668443	2457158.668443	12.453576	0.018330
57158.668547	2457158.668547	12.412707	0.018093
57159.668686	2457159.668686	12.433224	0.018335
57159.668802	2457159.668802	12.429914	0.018432
57159.668906	2457159.668906	12.477328	0.018426
57160.669300	2457160.669300	12.461083	0.018897
57160.669404	2457160.669404	12.469110	0.018800
57160.669497	2457160.669497	12.465659	0.018940
57182.496777	2457182.496777	12.392352	0.115669
57182.496904	2457182.496904	12.391859	0.113910
57182.497031	2457182.497031	12.393293	0.127277
57183.498038	2457183.498038	12.380851	0.108711
57183.498166	2457183.498166	12.388507	0.109058
57183.498293	2457183.498293	12.398980	0.106946
57184.770376	2457184.770376	12.283388	0.126307
57184.770527	2457184.770527	12.352907	0.129257
57184.770642	2457184.770642	12.406128	0.145170
57186.611291	2457186.611291	12.369862	0.117414
57186.611418	2457186.611418	12.368975	0.127794
57186.611522	2457186.611522	12.369902	0.118363
57187.611568	2457187.611568	12.355384	0.131041
57187.611672	2457187.611672	12.356391	0.126549
57187.611777	2457187.611777	12.401471	0.125065
57188.611823	2457188.611823	12.407899	0.145100
57188.611927	2457188.611927	12.429072	0.137423
57188.612043	2457188.612043	12.427352	0.143355
57189.613003	2457189.613003	12.326352	0.142758
57189.613131	2457189.613131	12.396702	0.148151
57189.613235	2457189.613235	12.366531	0.151794
57190.638999	2457190.638999	12.371819	0.133191
57190.639115	2457190.639115	12.332950	0.126880
57190.639219	2457190.639219	12.390124	0.129891
57194.755191	2457194.755191	12.374682	0.020600
57194.755330	2457194.755330	12.472978	0.022263
57194.755446	2457194.755446	12.460549	0.021964
57196.758455	2457196.758455	12.504626	0.024789
57196.758571	2457196.758571	12.475717	0.024945
57196.758686	2457196.758686	12.433449	0.025007
57198.656256	2457198.656256	12.418905	0.017446
57198.656383	2457198.656383	12.464309	0.017612
57198.656499	2457198.656499	12.463951	0.017664
57227.666117	2457227.666117	12.301588	0.016155
57227.666233	2457227.666233	12.266358	0.015806
57227.666348	2457227.666348	12.277470	0.015964
57230.560434	2457230.560434	12.296254	0.015584
57230.560561	2457230.560561	12.308240	0.015429
57230.560677	2457230.560677	12.305824	0.015482
57233.549635	2457233.549635	12.314388	0.017581
57233.549751	2457233.549751	12.259096	0.016890
57233.549855	2457233.549855	12.339282	0.017569
57234.550341	2457234.550341	12.342918	0.016481
57234.550446	2457234.550446	12.358697	0.020695
57234.550550	2457234.550550	12.300828	0.021465
57235.550816	2457235.550816	12.356610	0.076757
57235.550920	2457235.550920	12.597104	0.089312
57235.551036	2457235.551036	12.080286	0.058713
57236.551209	2457236.551209	12.453266	0.017052
57236.551314	2457236.551314	12.334084	0.017218
57236.551418	2457236.551418	12.268017	0.016913
57237.596638	2457237.596638	12.259733	0.017756
57237.596753	2457237.596753	12.267367	0.017803
57237.596869	2457237.596869	12.268898	0.017553
57249.519381	2457249.519381	12.523937	0.019409
57249.519485	2457249.519485	12.586486	0.019861
57252.523791	2457252.523791	12.407217	0.019507
57252.523895	2457252.523895	12.444273	0.019866
57252.523987	2457252.523987	12.489363	0.020131
57253.524184	2457253.524184	12.368333	0.013960
57253.524288	2457253.524288	12.335474	0.013847
57253.524404	2457253.524404	12.313944	0.013860
57435.874219	2457435.874219	12.419953	0.011579
57435.874311	2457435.874311	12.400767	0.011435
57435.874416	2457435.874416	12.419511	0.011499
57437.816661	2457437.816661	12.334293	0.011311
57437.816753	2457437.816753	12.358127	0.011386
57437.816846	2457437.816846	12.355439	0.011398
57438.817251	2457438.817251	12.403831	0.012047
57438.817344	2457438.817344	12.401516	0.011999
57438.817448	2457438.817448	12.420060	0.012146
57439.817992	2457439.817992	12.369725	0.012031
57439.818096	2457439.818096	12.360845	0.011956
57439.818200	2457439.818200	12.357373	0.011853
57441.629404	2457441.629404	12.369925	0.016667
57441.629520	2457441.629520	12.422530	0.017488
57441.629635	2457441.629635	12.378768	0.016664
57442.631302	2457442.631302	12.398554	0.015928
57442.631406	2457442.631406	12.359439	0.016645
57442.631534	2457442.631534	12.396305	0.015789
57443.633640	2457443.633640	12.286194	0.014361
57443.633756	2457443.633756	12.334074	0.014666
57443.633872	2457443.633872	12.310241	0.014280
57444.635573	2457444.635573	12.380225	0.013073
57444.635666	2457444.635666	12.330851	0.012717
57444.635758	2457444.635758	12.461538	0.013381
57445.637575	2457445.637575	12.404943	0.012352
57445.637668	2457445.637668	12.367130	0.012178
57445.637784	2457445.637784	12.391136	0.012249
57446.638941	2457446.638941	12.313070	0.012047
57446.639045	2457446.639045	12.389095	0.012377
57446.639149	2457446.639149	12.304390	0.012085
57447.640156	2457447.640156	12.388071	0.012387
57447.640249	2457447.640249	12.364217	0.012367
57447.640341	2457447.640341	12.413364	0.012556
57448.713686	2457448.713686	12.385479	0.011913
57448.713791	2457448.713791	12.440583	0.012158
57448.713895	2457448.713895	12.429612	0.012179
57449.714115	2457449.714115	12.424357	0.012365
57449.714207	2457449.714207	12.294024	0.011412
57449.714300	2457449.714300	12.301680	0.011362
57450.714670	2457450.714670	12.328766	0.011500
57450.714774	2457450.714774	12.334854	0.011513
57450.714867	2457450.714867	12.316569	0.011472
57451.715920	2457451.715920	12.420562	0.011801
57451.716024	2457451.716024	12.389092	0.011741
57451.716117	2457451.716117	12.371282	0.011669
57452.716383	2457452.716383	12.369926	0.011694
57452.718779	2457452.718779	12.369359	0.012038
57452.718883	2457452.718883	12.378928	0.011899
57453.716950	2457453.716950	12.344015	0.012097
57453.717054	2457453.717054	12.347718	0.012123
57453.717147	2457453.717147	12.335708	0.012061
57454.740226	2457454.740226	12.418999	0.012294
57454.740318	2457454.740318	12.429789	0.012327
57454.740411	2457454.740411	12.414546	0.012217
57455.875376	2457455.875376	12.251731	0.011762
57455.875469	2457455.875469	12.239717	0.011909
57455.875561	2457455.875561	12.219329	0.011759
57456.876568	2457456.876568	12.212787	0.011609
57456.876661	2457456.876661	12.176151	0.011519
57456.876753	2457456.876753	12.194753	0.011579
57458.728976	2457458.728976	12.397562	0.011592
57458.729126	2457458.729126	12.398366	0.011695
57458.729277	2457458.729277	12.377808	0.011581
57461.715712	2457461.715712	12.389680	0.011581
57461.715804	2457461.715804	12.394418	0.011536
57461.727737	2457461.727737	12.420471	0.011829
57464.733802	2457464.733802	12.437772	0.012846
57464.733895	2457464.733895	12.448178	0.012855
57464.733999	2457464.733999	12.438534	0.012793
57465.734439	2457465.734439	12.363942	0.011634
57465.734531	2457465.734531	12.371596	0.011665
57465.734635	2457465.734635	12.352573	0.011628
57466.735098	2457466.735098	11.896260	0.011759
57466.735203	2457466.735203	12.029665	0.011786
57466.735307	2457466.735307	12.020639	0.011748
57467.885932	2457467.885932	12.441836	0.022449
57467.886036	2457467.886036	11.853919	0.020430
57467.886128	2457467.886128	12.145755	0.016685
57468.887182	2457468.887182	12.276317	0.013345
57468.887274	2457468.887274	12.250707	0.013470
57468.887378	2457468.887378	12.278058	0.014110
57471.766013	2457471.766013	12.412710	0.012226
57471.766128	2457471.766128	12.417611	0.012259
57471.766221	2457471.766221	12.397848	0.012183
57472.766997	2457472.766997	12.324404	0.013051
57472.767112	2457472.767112	12.349175	0.012891
57472.767205	2457472.767205	12.323728	0.012757
57473.767922	2457473.767922	12.389560	0.013207
57473.768038	2457473.768038	12.407547	0.013251
57473.768131	2457473.768131	12.396890	0.013367
57474.769288	2457474.769288	12.440363	0.012942
57474.769404	2457474.769404	12.439624	0.012711
57474.769497	2457474.769497	12.440270	0.012851
57475.776094	2457475.776094	12.216526	0.012286
57475.776209	2457475.776209	12.201605	0.012250
57475.776302	2457475.776302	12.186701	0.012191
57476.874161	2457476.874161	12.343432	0.012891
57476.874277	2457476.874277	12.261056	0.012641
57476.874369	2457476.874369	12.294237	0.012628
57477.875226	2457477.875226	12.336913	0.011165
57477.875341	2457477.875341	12.341935	0.011257
57477.875457	2457477.875457	12.305028	0.011345
57478.876256	2457478.876256	12.270856	0.011618
57478.876360	2457478.876360	12.263612	0.011631
57478.876476	2457478.876476	12.260357	0.011523
57479.877679	2457479.877679	12.263810	0.012703
57479.877784	2457479.877784	12.230953	0.012464
57479.877888	2457479.877888	12.279328	0.012662
57480.881186	2457480.881186	12.291042	0.011703
57480.881302	2457480.881302	12.309223	0.011799
57480.881406	2457480.881406	12.305058	0.011722
57481.883409	2457481.883409	12.188000	0.014588
57481.883524	2457481.883524	12.215677	0.014745
57481.883640	2457481.883640	12.233310	0.019466
57484.889196	2457484.889196	12.264159	0.011839
57484.889311	2457484.889311	12.313986	0.011858
57484.889427	2457484.889427	12.266308	0.011855
57485.890469	2457485.890469	12.298095	0.011950
57485.890584	2457485.890584	12.248279	0.011720
57485.890712	2457485.890712	12.224595	0.011642
57486.891892	2457486.891892	12.304775	0.011873
57486.892008	2457486.892008	12.309600	0.011846
57486.892135	2457486.892135	12.256628	0.011859
57488.553084	2457488.553084	12.384894	0.012520
57488.553212	2457488.553212	12.346057	0.012368
57488.553339	2457488.553339	12.361262	0.012413
57489.568501	2457489.568501	12.509126	0.029581
57489.568628	2457489.568628	12.505581	0.029790
57489.568756	2457489.568756	12.512832	0.029250
57491.885237	2457491.885237	12.185399	0.011462
57491.885365	2457491.885365	12.166253	0.011591
57491.885492	2457491.885492	12.184432	0.011577
57494.903594	2457494.903594	12.182228	0.011897
57494.903733	2457494.903733	12.195090	0.011844
57494.903872	2457494.903872	12.161250	0.011800
57495.905110	2457495.905110	12.265658	0.012230
57495.905249	2457495.905249	12.243991	0.012226
57495.905388	2457495.905388	12.235603	0.012182
57499.861337	2457499.861337	12.367494	0.014980
57499.861487	2457499.861487	12.286751	0.014083
57499.861626	2457499.861626	12.306286	0.014447
57796.655631	2457796.655631	12.456229	0.014125
57796.655735	2457796.655735	12.405997	0.014076
57796.678675	2457796.678675	12.398358	0.013263
57797.757587	2457797.757587	12.282958	0.011250
57797.757703	2457797.757703	12.273923	0.011283
57797.757818	2457797.757818	12.284540	0.011295
57812.610052	2457812.610052	12.430756	0.014892
57812.695272	2457812.695272	12.437006	0.013579
57812.695376	2457812.695376	12.480620	0.013737
57813.702691	2457813.702691	12.295408	0.012566
57813.702795	2457813.702795	12.318731	0.012758
57813.702911	2457813.702911	12.324668	0.012967
57814.711140	2457814.711140	12.411625	0.013290
57814.711256	2457814.711256	12.434195	0.013387
57814.711360	2457814.711360	12.444939	0.013425
57816.591904	2457816.591904	12.400991	0.014325
57816.594925	2457816.594925	12.338976	0.014078
57816.595029	2457816.595029	12.370167	0.014065
57818.750816	2457818.750816	12.483920	0.012766
57818.750920	2457818.750920	12.467585	0.012650
57818.751036	2457818.751036	12.481893	0.012699
57821.730191	2457821.730191	12.401042	0.011864
57821.730307	2457821.730307	12.397989	0.011822
57821.730422	2457821.730422	12.385757	0.011827
57822.768744	2457822.768744	12.365081	0.011905
57822.768860	2457822.768860	12.370036	0.011885
57822.768964	2457822.768964	12.367696	0.011858
57823.769890	2457823.769890	12.289198	0.011023
57823.770017	2457823.770017	12.308707	0.011270
57823.770133	2457823.770133	12.318671	0.011193
57824.772228	2457824.772228	12.444216	0.012813
57824.772332	2457824.772332	12.420436	0.012642
57824.772448	2457824.772448	12.399211	0.012443
57825.773478	2457825.773478	12.375378	0.012255
57825.773605	2457825.773605	12.341540	0.012204
57825.773721	2457825.773721	12.400619	0.012413
57826.776892	2457826.776892	12.313614	0.012007
57826.776997	2457826.776997	12.316799	0.011992
57826.777112	2457826.777112	12.324492	0.011958
57827.803721	2457827.803721	12.388933	0.012277
57827.803837	2457827.803837	12.411783	0.012301
57828.633999	2457828.633999	12.400862	0.013612
57828.805307	2457828.805307	12.236255	0.012750
57828.805422	2457828.805422	12.282599	0.013009
57828.805538	2457828.805538	12.268518	0.012730
57829.806383	2457829.806383	12.179862	0.012345
57829.806522	2457829.806522	12.145622	0.012337
57829.806638	2457829.806638	12.157242	0.012331
57830.807760	2457830.807760	12.245452	0.012570
57830.807888	2457830.807888	12.267202	0.012687
57830.808003	2457830.808003	12.232497	0.012616
57833.863744	2457833.863744	12.243300	0.011768
57833.863883	2457833.863883	12.258235	0.011714
57833.863999	2457833.863999	12.252703	0.011682
57834.869612	2457834.869612	12.293370	0.011883
57834.869740	2457834.869740	12.288330	0.012064
57834.869855	2457834.869855	12.296358	0.011941
57835.876441	2457835.876441	12.195379	0.011844
57835.876568	2457835.876568	12.218679	0.011831
57835.876684	2457835.876684	12.226961	0.011959
57837.576522	2457837.576522	12.484359	0.013940
57837.576626	2457837.576626	12.479485	0.014146
57837.576742	2457837.576742	12.456185	0.013747
57838.730434	2457838.730434	12.428847	0.012679
57838.730538	2457838.730538	12.389133	0.012403
57838.730654	2457838.730654	12.394377	0.012491
57839.841441	2457839.841441	12.218144	0.011766
57839.841557	2457839.841557	12.227084	0.011700
57839.841672	2457839.841672	12.210790	0.011793
57841.607656	2457841.607656	12.400292	0.012586
57841.607760	2457841.607760	12.373040	0.012150
57841.607876	2457841.607876	12.384258	0.012508
57918.496510	2457918.496510	12.400502	0.013083
57918.496626	2457918.496626	12.384395	0.013075
